grid_lat,grid_height,nrcell_cid,nrcell_freq,cell_index,cell_type,total_avail_sample,avail_sample,avail_sample_ratio,total_thput_sample,thput_sample,thput_sample_ratio,thput_avg_dl,thput_std_dl,thput_0_dl,thput_10_dl,thput_25_dl,thput_50_dl,thput_75_dl,thput_90_dl,thput_100_dl,thput_avg_ul,thput_std_ul,thput_0_ul,thput_10_ul,thput_25_ul,thput_50_ul,thput_75_ul,thput_90_ul,thput_100_ul
40.4632,90,749,520110,3,5G,50,21,0.42,35,17,0.4857142857142857,0.5138823529411765,0.13017358652874933,0.336,0.38880000000000003,0.416,0.504,0.568,0.7088000000000001,0.8,27.54464705882353,10.493979052105106,7.443,17.8064,19.96,28.304,32.84,40.918400000000005,48.128,
40.4632,90,317,520110,4,5G,50,4,0.08,35,4,0.11428571428571428,0.59,0.03458323293158115,0.536,0.5504,0.572,0.6,0.618,0.6216,0.624,43.513999999999996,3.4025043717826433,38.84,40.1912,42.218,43.379999999999995,44.676,46.944,48.456,
40.4632,90,700,125290,1,5G,50,0,0.0,35,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.4633,90,721,520110,2,5G,53,22,0.41509433962264153,41,15,0.36585365853658536,0.5695999999999999,0.12666638596460128,0.24,0.4704,0.508,0.552,0.644,0.696,0.8,30.805866666666663,10.62289812224308,6.952,21.6544,24.82,26.56,38.480000000000004,44.321600000000004,47.008,
40.4633,90,749,520110,3,5G,53,19,0.3584905660377358,41,15,0.36585365853658536,0.46240000000000003,0.0732746431812079,0.352,0.384,0.408,0.472,0.496,0.5248,0.656,26.2976,7.4839876429614725,9.856,18.4608,20.616,28.856,31.532000000000004,33.5824,39.456,
40.4633,90,459,520110,5,5G,53,7,0.1320754716981132,41,6,0.14634146341463414,0.7093333333333334,0.090234263017006,0.528,0.6040000000000001,0.6940000000000001,0.74,0.75,0.784,0.816,45.99733333333333,11.064875999706862,28.616,30.776,37.17,51.028,54.686,56.188,56.856,
40.4633,90,317,520110,4,5G,53,5,0.09433962264150944,41,5,0.12195121951219512,0.5904,0.160191884938033,0.344,0.4304,0.56,0.592,0.608,0.752,0.848,38.6032,11.225483693810258,16.504,26.5808,41.696,43.264,43.84,46.1632,47.712,
40.4633,90,700,125290,1,5G,53,0,0.0,41,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.4635,90,749,520110,3,5G,68,29,0.4264705882352941,47,19,0.40425531914893614,0.44168421052631573,0.13080039136895374,0.312,0.33280000000000004,0.352,0.392,0.52,0.56,0.864,26.010105263157893,9.132416604686366,12.608,15.6144,17.072,26.304,31.456,38.6704,43.64,
40.4635,90,317,520110,4,5G,68,4,0.058823529411764705,47,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
