grid_lon,grid_height,total_sample,total_sample_nr,nr_duration_ratio,total_sample_nr_low,nr_low_duration_ratio,total_sample_nr_mid,nr_mid_duration_ratio,nr_duration_ratio_plot
40.4634,120.0000,39.0000,39.0000,1.0000,3.0000,0.0769,36.0000,0.9231,1.7500
40.4635,0.0000,16.0000,13.0000,0.8125,13.0000,0.8125,0.0000,0.0000,0.8542
40.4635,30.0000,112.0000,112.0000,1.0000,7.0000,0.0625,105.0000,0.9375,1.7500
40.4635,60.0000,42.0000,42.0000,1.0000,0.0000,0.0000,42.0000,1.0000,1.7500
40.4635,90.0000,47.0000,47.0000,1.0000,0.0000,0.0000,47.0000,1.0000,1.7500
40.4635,120.0000,39.0000,39.0000,1.0000,2.0000,0.0513,37.0000,0.9487,1.7500
40.4636,0.0000,17.0000,16.0000,0.9412,15.0000,0.8824,1.0000,0.0588,1.2059
40.4636,30.0000,102.0000,102.0000,1.0000,4.0000,0.0392,98.0000,0.9608,1.7500
40.4636,60.0000,50.0000,50.0000,1.0000,0.0000,0.0000,50.0000,1.0000,1.7500
40.4636,90.0000,38.0000,36.0000,0.9474,0.0000,0.0000,36.0000,0.9474,1.2368
40.4636,120.0000,47.0000,47.0000,1.0000,3.0000,0.0638,44.0000,0.9362,1.7500
40.4637,0.0000,18.0000,15.0000,0.8333,14.0000,0.7778,1.0000,0.0556,0.8889
40.4637,30.0000,81.0000,81.0000,1.0000,0.0000,0.0000,81.0000,1.0000,1.7500
40.4637,60.0000,58.0000,58.0000,1.0000,0.0000,0.0000,58.0000,1.0000,1.7500
40.4637,90.0000,41.0000,41.0000,1.0000,0.0000,0.0000,41.0000,1.0000,1.7500
40.4637,120.0000,52.0000,52.0000,1.0000,2.0000,0.0385,50.0000,0.9615,1.7500
40.4638,0.0000,15.0000,12.0000,0.8000,11.0000,0.7333,1.0000,0.0667,0.8333
40.4638,30.0000,102.0000,102.0000,1.0000,0.0000,0.0000,102.0000,1.0000,1.7500
40.4638,60.0000,52.0000,51.0000,0.9808,0.0000,0.0000,51.0000,0.9808,1.4423
40.4638,90.0000,40.0000,40.0000,1.0000,0.0000,0.0000,40.0000,1.0000,1.7500
40.4638,120.0000,50.0000,50.0000,1.0000,0.0000,0.0000,50.0000,1.0000,1.7500
