parent_grid_lat,parent_grid_lon,parent_lat_index,parent_lon_index,sub_grid_lat,sub_grid_lon,sub_lat_index,sub_lon_index,lat_index,lon_index,rsrp_50_273_387410,rsrp_50_371_387410,rsrp_50_gap_273_371_387410,rsrp_50_gap_target_other_pcells,target_pcell_usage,target_scell_usage
40.42625,-86.91935,1,3,40.42635,-86.91955,3,0,1.6,3,-119.07625,-69.56625,49.51,19.17,0,0
40.42625,-86.91935,1,3,40.42635,-86.91945,3,1,1.6,3.2,-131.1535714,-68.98,62.17357143,11.98142857,0.571428571,0.571428571
40.42625,-86.91935,1,3,40.42635,-86.91935,3,2,1.6,3.4,-126.3381818,-69.1775,57.18409091,8.894166667,0.75,0.75
40.42625,-86.91935,1,3,40.42635,-86.91925,3,3,1.6,3.6,-120.11,-72.19464286,50.87416667,6.565333333,0.866666667,0.866666667
40.42625,-86.91935,1,3,40.42635,-86.91915,3,4,1.6,3.8,-83.22,-74.960625,9.41,5.279444444,1,1
40.42625,-86.91935,1,3,40.42645,-86.91945,4,1,1.8,3.2,-123.34375,-71.6425,51.70125,7.94625,1,1
40.42625,-86.91935,1,3,40.42645,-86.91935,4,2,1.8,3.4,-117.0845,-71.9425,45.115,8.192083333,0.916666667,0.916666667
40.42625,-86.91935,1,3,40.42645,-86.91925,4,3,1.8,3.6,-112.9116667,-73.70076923,40.72416667,6.8265625,0.9375,0.9375
40.42725,-86.91935,2,3,40.42705,-86.91945,0,1,2,3.2,-95.95166667,-78.48166667,17.47,6.243333333,1,1
40.42725,-86.91935,2,3,40.42705,-86.91935,0,2,2,3.4,-92.0055,-77.2155,14.79,6.284,0.9,0.9
40.42725,-86.91935,2,3,40.42705,-86.91925,0,3,2,3.6,-90.31428571,-77.41227273,13.64142857,5.804,0.933333333,0.933333333
40.42725,-86.91935,2,3,40.42705,-86.91915,0,4,2,3.8,-84.375,-77.574375,7.915,4.236666667,0.772486772,0.768518519
40.42725,-86.91935,2,3,40.42715,-86.91955,1,0,2.2,3,-93.58,-86.7,6.88,7.33,1,1
40.42725,-86.91935,2,3,40.42715,-86.91935,1,2,2.2,3.4,-86.02214286,-80.20285714,5.819285714,8.192857143,0.991428571,0.991428571
40.42725,-86.91935,2,3,40.42715,-86.91925,1,3,2.2,3.6,-88.47863636,-80.74153846,7.892272727,5.856666667,0.996,0.996
40.42725,-86.91935,2,3,40.42715,-86.91915,1,4,2.2,3.8,-91.36428571,-80.53333333,11.13428571,3.127272727,1,1
40.42725,-86.91935,2,3,40.42725,-86.91955,2,0,2.4,3,-91.407,-86.203,5.204,6.196,1,1
40.42725,-86.91935,2,3,40.42725,-86.91945,2,1,2.4,3.2,-89.555,-85.33166667,4.223333333,6.2925,0.999850411,0.999850411
40.42725,-86.91935,2,3,40.42725,-86.91935,2,2,2.4,3.4,-87.45769231,-83.14,4.317692308,7.654230769,0.995304068,0.995304068
40.42725,-86.91935,2,3,40.42725,-86.91925,2,3,2.4,3.6,-88.76088235,-82.82333333,5.969117647,5.593157895,0.966706282,0.966706282
40.42725,-86.91935,2,3,40.42725,-86.91915,2,4,2.4,3.8,-90.42083333,-82.11923077,8.405,3.264642857,0.959101382,0.959101382
40.42725,-86.91935,2,3,40.42735,-86.91955,3,0,2.6,3,-90.86375,-86.07875,4.785,5.9125,1,1
40.42725,-86.91935,2,3,40.42735,-86.91945,3,1,2.6,3.2,-89.72,-85.49125,4.22875,6.401875,0.999883653,0.999883653
40.42725,-86.91935,2,3,40.42735,-86.91935,3,2,2.6,3.4,-88.14785714,-84.63321429,3.514642857,7.973214286,0.999925206,0.999925206
40.42725,-86.91935,2,3,40.42735,-86.91925,3,3,2.6,3.6,-88.28125,-84.90875,3.3725,6.8471875,0.922085943,0.922085943
40.42725,-86.91935,2,3,40.42735,-86.91915,3,4,2.6,3.8,-88.39727273,-83.97090909,4.426363636,5.092272727,0.886670463,0.886670463
40.42725,-86.91935,2,3,40.42745,-86.91945,4,1,2.8,3.2,-90.215,-85.97,4.245,6.73,1,1
40.42725,-86.91935,2,3,40.42745,-86.91935,4,2,2.8,3.4,-86.1205,-84.153,2.3095,12.1555,1,1
40.42725,-86.91935,2,3,40.42745,-86.91925,4,3,2.8,3.6,-87.12466667,-84.91625,2.469333333,9.5734375,0.892442546,0.892442546
40.42725,-86.91935,2,3,40.42745,-86.91915,4,4,2.8,3.8,-88.7625,-85.43833333,3.320625,5.729444444,0.808786748,0.808786748
40.42825,-86.91885,3,3,40.42805,-86.91905,0,0,3,3,-84.96,-83.89,2.033333333,10.47875,1,1
40.42825,-86.91885,3,3,40.42805,-86.91895,0,1,3,3.2,-84.154375,-84.293125,1.0475,11.675,1,1
40.42825,-86.91885,3,3,40.42805,-86.91885,0,2,3,3.4,-84.47166667,-83.985,0.76,9.018333333,1,1
40.42825,-86.91885,3,3,40.42805,-86.91865,0,4,3,3.8,-97.1,-96.52,0.58,,1,1
40.42825,-86.91885,3,3,40.42815,-86.91905,1,0,3.2,3,-83.68533333,-82.62166667,1.788333333,14.17428571,1,1
40.42825,-86.91885,3,3,40.42815,-86.91895,1,1,3.2,3.2,-83.10035714,-83.02107143,1.431428571,16.42333333,1,1
40.42825,-86.91885,3,3,40.42815,-86.91885,1,2,3.2,3.4,-83.78,-83.70888889,1.204444444,14.669375,1,1
40.42825,-86.91885,3,3,40.42815,-86.91875,1,3,3.2,3.6,-84.6125,-83.9925,0.66,21.8375,1,1
40.42825,-86.91885,3,3,40.42815,-86.91865,1,4,3.2,3.8,-88.027,-88.039,1.11,26.25,1,1
40.42825,-86.91885,3,3,40.42825,-86.91905,2,0,3.4,3,-82.8675,-82.273125,1.488125,13.38,0.997596331,0.997596331
40.42825,-86.91885,3,3,40.42825,-86.91895,2,1,3.4,3.2,-82.52833333,-82.272,1.692333333,16.53607143,0.998756219,0.998756219
40.42825,-86.91885,3,3,40.42825,-86.91885,2,2,3.4,3.4,-83.362,-82.7055,1.5945,17.26111111,1,1
