grid_lon,height,thput_0,thput_1,thput_5,thput_10,thput_25,thput_50,thput_75,thput_90,thput_95,thput_99,thput_100,total_sample
40.4637,60.0000,-95.7500,-93.9963,-92.8750,-92.1063,-89.7500,-86.8750,-85.1875,-82.0277,-81.7202,-81.3915,-81.0000,904.0000
40.4637,90.0000,-99.5000,-99.0000,-97.6094,-96.5000,-94.8125,-91.0625,-84.6560,-82.6800,-82.4140,-81.9727,-81.7030,826.0000
40.4637,120.0000,-99.8125,-97.1875,-96.8750,-96.6375,-95.7500,-93.1250,-87.2385,-83.3980,-82.9809,-80.3779,-79.0470,679.0000
40.4638,0.0000,-112.7340,-112.3549,-110.2717,-109.5376,-106.5275,-103.9375,-100.8438,-97.7811,-95.0563,-92.6912,-92.5000,207.0000
40.4638,30.0000,-93.5860,-93.1800,-90.8060,-90.0625,-88.0000,-84.6250,-80.5625,-77.8750,-76.6875,-76.1250,-75.8125,1729.0000
40.4638,60.0000,-96.6250,-94.7981,-93.1875,-92.5000,-91.1250,-87.9375,-85.8241,-82.0230,-81.7305,-81.0925,-80.4140,824.0000
40.4638,90.0000,-100.1250,-98.8125,-96.3125,-95.8125,-93.2500,-91.7500,-84.8500,-82.8520,-82.4432,-82.2340,-82.1480,816.0000
40.4638,120.0000,-97.9375,-96.9094,-96.4219,-96.1250,-95.3125,-92.3948,-86.9490,-83.4920,-83.2638,-82.5175,-82.2420,646.0000
40.4639,0.0000,-115.0625,-113.5875,-111.7500,-110.3125,-107.4530,-104.5625,-101.6720,-97.6880,-95.0000,-92.3250,-91.8750,281.0000
40.4639,30.0000,-93.9840,-93.5105,-90.9220,-90.3050,-88.8125,-85.0625,-80.3750,-78.7750,-77.6875,-76.6875,-76.1250,1565.0000
40.4639,60.0000,-95.1875,-94.1250,-93.1250,-92.8125,-91.3125,-88.0780,-85.7500,-82.4276,-81.5228,-80.8613,-80.3830,1130.0000
40.4639,90.0000,-99.5625,-97.8750,-96.5000,-95.3750,-93.6875,-91.3750,-85.0115,-83.6800,-83.0595,-82.6560,-82.3750,1107.0000
40.4639,120.0000,-98.5000,-98.3750,-97.8750,-97.3750,-95.8125,-91.6562,-87.1620,-83.4300,-83.2026,-82.6019,-82.3750,700.0000
40.4640,0.0000,-116.1875,-114.4825,-112.8375,-110.7375,-108.5000,-104.8750,-102.7500,-97.7890,-95.9346,-91.9400,-90.4375,253.0000
40.4640,30.0000,-93.0470,-92.0862,-90.8830,-90.3125,-88.7150,-85.0625,-81.0156,-79.1250,-78.3656,-77.4356,-77.0000,1398.0000
40.4640,60.0000,-96.3125,-94.8125,-93.4750,-92.8875,-91.5000,-88.0625,-84.9375,-82.8670,-81.7970,-81.0160,-80.6950,1109.0000
40.4640,90.0000,-99.1875,-98.1450,-96.8125,-95.7500,-93.1250,-92.0000,-84.8183,-83.5080,-83.2058,-82.8414,-82.3360,1168.0000
40.4640,120.0000,-99.3125,-98.6600,-97.6875,-97.3750,-96.0000,-91.1875,-87.0230,-83.3622,-83.2270,-82.3713,-82.0390,745.0000
40.4641,0.0000,-114.3750,-113.6925,-110.5684,-109.5984,-106.0312,-104.3750,-100.7812,-96.3250,-94.2848,-92.4950,-92.0625,247.0000
40.4641,30.0000,-94.8120,-93.6098,-91.2456,-90.3272,-88.8125,-86.0662,-82.6250,-79.1312,-78.5000,-77.4375,-76.9375,1472.0000
40.4641,60.0000,-96.0625,-95.1250,-93.3050,-92.3125,-89.0625,-87.6250,-84.8050,-83.0310,-81.8200,-81.2030,-80.9220,1301.0000
40.4641,90.0000,-99.4375,-97.5369,-95.5531,-94.8563,-93.8125,-91.1562,-84.9023,-83.2810,-83.1030,-82.6461,-82.3200,864.0000
40.4641,120.0000,-98.9375,-98.5625,-97.8125,-96.6875,-94.9219,-91.5585,-87.3398,-83.6840,-83.2210,-82.7492,-82.3750,646.0000
40.4642,0.0000,-115.1250,-111.0925,-109.8625,-109.5138,-106.0625,-103.6560,-100.2970,-95.5250,-94.4375,-91.1875,-90.4375,285.0000
40.4642,30.0000,-93.0310,-92.2784,-90.8416,-90.3122,-88.1875,-85.8750,-82.1875,-79.9750,-78.7500,-77.8125,-77.5000,1367.0000
40.4642,60.0000,-96.4375,-94.6663,-93.1250,-92.3750,-89.6875,-87.9375,-84.9530,-82.6020,-81.7556,-81.1977,-81.0080,1935.0000
40.4642,90.0000,-98.5000,-97.9106,-97.1250,-96.1250,-94.1875,-90.8438,-84.9610,-83.3120,-83.0952,-82.5940,-82.2030,844.0000
40.4642,120.0000,-100.1875,-99.9375,-97.0125,-96.5625,-95.3750,-92.3750,-86.3910,-83.6138,-83.4204,-83.2625,-82.9840,557.0000
40.4643,0.0000,-111.8910,-111.4176,-110.0900,-109.4610,-105.8400,-102.5780,-99.5312,-94.4375,-92.0312,-90.9563,-89.5625,311.0000
