column,rsrq,cause
4,-10.51,noloop
4,-10.48,noloop
4,-10.45,noloop
4,-10.495,noloop
4,-10.36,noloop
4,-10.49,noloop
4,-10.455,noloop
4,-10.42,noloop
4,-30.0,noloop
4,-10.65,noloop
4,-10.37,noloop
4,-10.29,noloop
4,-10.31,noloop
4,-10.37,noloop
4,-10.33,noloop
4,-10.45,noloop
4,-10.455,noloop
4,-10.44,noloop
4,-10.53,noloop
4,-10.36,noloop
4,-10.46,noloop
4,-30.0,noloop
4,-10.6,noloop
4,-30.0,noloop
4,-10.63,noloop
4,-10.56,noloop
4,-30.0,noloop
4,-10.54,noloop
4,-30.0,noloop
4,-10.59,noloop
4,-10.59,noloop
4,-21.285,noloop
4,-10.52,noloop
4,-10.55,noloop
4,-10.63,noloop
4,-10.38,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.585,noloop
4,-10.52,noloop
4,-10.55,noloop
4,-10.56,noloop
4,-30.0,noloop
4,-10.505,noloop
4,-10.52,noloop
4,-30.0,noloop
4,-10.63,noloop
4,-10.64,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.46,noloop
4,-10.43,noloop
4,-10.49,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.57,noloop
4,-10.48,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.325,noloop
4,-10.34,noloop
4,-30.0,noloop
4,-10.51,noloop
4,-10.24,noloop
4,-42.84,noloop
4,-10.31,noloop
4,-30.0,noloop
4,-10.39,noloop
4,-10.36,noloop
4,-30.0,noloop
4,-10.45,noloop
4,-10.56,noloop
4,-10.41,noloop
4,-10.17,noloop
4,-10.44,noloop
4,-10.445,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.27,noloop
4,-23.2,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.47,noloop
4,-30.0,noloop
4,-10.38,noloop
4,-10.45,noloop
4,-21.4,noloop
4,-10.48,noloop
4,-10.45,noloop
4,-43.0,noloop
4,-10.48,noloop
4,-30.0,noloop
4,-25.83,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.4,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.43,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.47,noloop
4,-26.12,noloop
4,-10.54,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.63,noloop
4,-30.0,noloop
4,-10.415,noloop
4,-10.26,noloop
4,-10.405,noloop
4,-30.0,noloop
4,-10.415,noloop
4,-30.0,noloop
4,-10.355,noloop
4,-10.35,noloop
4,-10.3,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.35,noloop
4,-30.0,noloop
4,-10.3,noloop
4,-22.22,noloop
4,-10.305,noloop
4,-30.0,noloop
4,-10.56,noloop
4,-30.0,noloop
4,-10.52,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.38,noloop
4,-10.6,noloop
4,-30.0,noloop
4,-10.37,noloop
