grid_lat,grid_lon,grid_height,total_sample,thput_mean,thput_std,thput_0,thput_25,thput_50,thput_75,thput_100,rbs_mean,rbs_std,rbs_0,rbs_25,rbs_50,rbs_75,rbs_100,rtt_mean,rtt_std,rtt_0,rtt_10,rtt_25,rtt_50,rtt_75,rtt_90,rtt_100
-86.9465,40.4400,0.0000,2.0000,36.4982,2.6092,33.8890,35.1936,36.4982,37.8028,39.1074,84.0000,0.0000,84.0000,84.0000,84.0000,84.0000,84.0000,122.0000,13.0000,109.0000,111.6000,115.5000,122.0000,128.5000,132.4000,135.0000
-86.9465,40.4405,0.0000,3.0000,39.4120,6.4491,32.9180,35.0155,37.1130,42.6590,48.2050,73.6667,14.6135,53.0000,68.5000,84.0000,84.0000,84.0000,156.0000,17.5689,134.0000,138.6000,145.5000,157.0000,167.0000,173.0000,177.0000
-86.9465,40.4410,0.0000,1.0000,53.6580,0.0000,53.6580,53.6580,53.6580,53.6580,53.6580,84.0000,0.0000,84.0000,84.0000,84.0000,84.0000,84.0000,99.8000,0.0000,99.8000,99.8000,99.8000,99.8000,99.8000,99.8000,99.8000
-86.9465,40.4425,0.0000,1.0000,40.2550,0.0000,40.2550,40.2550,40.2550,40.2550,40.2550,84.0000,0.0000,84.0000,84.0000,84.0000,84.0000,84.0000,90.9000,0.0000,90.9000,90.9000,90.9000,90.9000,90.9000,90.9000,90.9000
-86.9465,40.4435,0.0000,2.0000,33.5864,0.0446,33.5417,33.5640,33.5864,33.6087,33.6310,75.5000,8.5000,67.0000,71.2500,75.5000,79.7500,84.0000,120.5000,3.5000,117.0000,117.7000,118.7500,120.5000,122.2500,123.3000,124.0000
-86.9465,40.4440,0.0000,4.0000,20.5951,10.7795,7.0183,11.5901,21.5295,30.5345,32.3030,53.5000,30.4344,3.0000,45.7500,63.5000,71.2500,84.0000,152.7500,31.1077,120.0000,121.8000,124.5000,148.0000,176.2500,187.5000,195.0000
-86.9465,40.4445,0.0000,1.0000,5.6020,0.0000,5.6020,5.6020,5.6020,5.6020,5.6020,50.0000,0.0000,50.0000,50.0000,50.0000,50.0000,50.0000,499.0000,0.0000,499.0000,499.0000,499.0000,499.0000,499.0000,499.0000,499.0000
-86.9465,40.4450,0.0000,7.0000,29.9650,13.5733,1.1280,27.2210,35.0130,37.6085,43.9550,83.5714,1.0498,81.0000,84.0000,84.0000,84.0000,84.0000,164.1429,48.8011,119.0000,123.2000,131.5000,138.0000,184.5000,232.4000,260.0000
-86.9465,40.4455,0.0000,3.0000,19.1152,13.0583,0.8583,13.3476,25.8370,28.2436,30.6503,67.0000,24.0416,33.0000,58.5000,84.0000,84.0000,84.0000,152.3333,57.2033,74.0000,94.0000,124.0000,174.0000,191.5000,202.0000,209.0000
-86.9465,40.4665,0.0000,13.0000,9.8082,4.9183,2.4720,6.4978,8.7236,13.1493,20.2213,55.5000,31.9414,3.0000,33.0000,62.5000,85.2500,90.0000,415.1667,176.9557,201.0000,203.6000,263.0000,374.5000,537.0000,619.8000,778.0000
