grid_lat,grid_lon,grid_height,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,cell_set_type,total_avail_sample,avail_sample,avail_sample_ratio,total_thput_sample,thput_sample,thput_sample_ratio,thput_avg_dl,thput_std_dl,thput_0_dl,thput_10_dl,thput_25_dl,thput_50_dl,thput_75_dl,thput_90_dl,thput_100_dl,thput_avg_ul,thput_std_ul,thput_0_ul,thput_10_ul,thput_25_ul,thput_50_ul,thput_75_ul,thput_90_ul,thput_100_ul
-86.917,40.465,0,248,1001,71,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,11,10,0.9090909090909091,11,10,0.9090909090909091,0.41509999999999997,0.10929085048621408,0.106,0.37150000000000005,0.41075,0.4435,0.46475,0.4775,0.536,19.10362857142857,6.3967240085556805,0.415,16.4719,19.537499999999998,21.29864285714286,22.2025,22.729799999999997,23.106,
-86.9165,40.4645,0,68,1200,71,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,320,1,0.003125,236,1,0.00423728813559322,0.262,0.0,0.262,0.262,0.262,0.262,0.262,0.262,0.262,11.937,0.0,11.937,11.937,11.937,11.937,11.937,11.937,11.937,
-86.9165,40.4645,0,68,1200,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,320,61,0.190625,236,57,0.24152542372881355,0.20312781954887218,0.13098240299288827,0.049,0.09624444444444445,0.123,0.157,0.232,0.36045714285714286,0.746,7.557705096073518,3.196034832150971,1.2346666666666668,3.8076,5.369,6.762,10.751,12.279085714285713,13.459,
-86.9165,40.4645,0,68,1200,314,520110,248,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,320,8,0.025,236,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.9165,40.4645,0,68,1200,743,520110,248,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,320,9,0.028125,236,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.9165,40.4645,0,68,1200,317,520110,248,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,320,1,0.003125,236,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.9165,40.4645,0,68,1200,483,520110,248,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,320,2,0.00625,236,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.9165,40.4645,0,453,1200,483,520110,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,320,1,0.003125,236,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.9165,40.4645,0,453,1200,743,520110,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,320,20,0.0625,236,1,0.00423728813559322,0.7908571428571429,0.0,0.7908571428571429,0.7908571428571429,0.7908571428571429,0.7908571428571429,0.7908571428571429,0.7908571428571429,0.7908571428571429,36.668571428571425,0.0,36.668571428571425,36.668571428571425,36.668571428571425,36.668571428571425,36.668571428571425,36.668571428571425,36.668571428571425,
-86.9165,40.4645,0,453,1200,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,320,11,0.034375,236,8,0.03389830508474576,0.11241071428571428,0.04350934907158061,0.047,0.0484,0.08253571428571428,0.12357142857142857,0.14125,0.1532285714285714,0.1794285714285714,4.409892857142857,1.855004933914446,0.907,1.4712,3.92025,5.238214285714285,5.725999999999999,5.9098999999999995,5.969,
